Bangla,Chatgaya
আজকে কাজে একদম মন বাসছেনা,আজিয়ে হাজোত এব্বেরে মন ন বইয়্যির
"ভাইয়া, এবার দেশে আসার সময় আমার জন্য একটা দামি ফোন নিয়ে এসো","ভাইয়া, এবার দেশুত আইবের সমত আঁর লাই উজ্ঞো দামি ফোন লই আইসসো"
ইফতারের পরে মার্কেটে মানুষ বেশি থাকবে,ইফতেরুর ফরে মার্কেটুত মানুষ বেশি থাহিবু
সময়মতো খাবার না খেলে শরীর দুর্বল হয়ে যাবে,সময়মতো হানা ন হাইলি শরীল দুর্বল অই যাইবু
"আমরা বান্দরবান যেতে চাচ্ছি, দিনে গিয়ে কি দিনে ফিরে আসতে পারব?","আঁরা বান্দরবন যেতাম চাইর, দিনুত যাই কি দিনুত ফিরি আইত ফাইজ্জুম?"
তোর বাবাকে বল যেন মাছ বাজার থেকে কেটে আনে,তোর বাফুরে হ যেন মাছ বাজারুত্তুন হাডি আনে
"আমি তাদের বারবার নিষেধ করেছিলাম, কিন্তু তারা আমার কথা শোনে নি","আঁই ইতারারে বারবার নিষেধ গইজ্জিলাম, কিন্তু ইতারা আঁর হতা নো উনে"
"সবসময় হাসিখুশি থাকবা, তোমাকে হাসিখুশি দেখলে মিষ্টি লাগে","সবসময় আসিখুশি থাহিবে, তোঁয়ারে আশিখুশি দেহিলি মিষ্টি লাগে"
"আমাদের যদি ফিরতে দেরি হয়ে যায়, তাহলে তুই খেয়ে ঘুমিয়ে যাস","আরাত্তুন যদি ফিত্তে দেরি অই যাই, তইলি তুই হাইয়্যিরে ঘুমাই যাইস"
"আজকে বাসায় যাব না, আমি আমার বন্ধুর বাসায় থেকে যাচ্ছি","আজিয়ে বাসাত ন যাইয়্যুম, আঁই আঁর বন্ধুর বাসাত থাহি যাইর"
লেগে থাকলে একদিন সাফল্য অবশ্যই আসবে,লাগি থাহিলি একদিন সাফল্য অবশ্যই আইবু
এই যে শুনছেন? আপনি কি বিশ্ববিদ্যালয়ের শিক্ষক?,এই যে উইনতে লেইজ্ঞুন? অঁনে কি বিশ্ববিদ্যালয় উর শিক্ষক?
"তোদের থেকে দূরে থাকলেই ভালো, একসঙ্গে থাকলে একটাও ভালো কথা হয় না","তোরাত্তুন দুরে থাহিলিই ভালা, একলগে থাহিলি এক্কানও ভালা হতা নো অয়"
আমাদের অন্যভাবে কাজ করতে হবে,আরাত্তুন অন্যভাবে হাম গরন ফরিবু
শাড়িটার কাপড় ভালো হবে মনে হচ্ছে,শারি ইবের হর ভালা অইবু মনে অর
তোমার এই কাপড়টা এখানে কেন? অন্যদিকে নিয়ে যাও জলদি,তোঁয়ার হর ইবে এনডে কা? অন্যমিক্কে লই য হারা
"মাথা ঠান্ডা করো, আমি কি বলি মনোযোগ দিয়ে শোনো","মাথা ঠান্ডা গরো, আঁই কি হইর মন দি উনো"
"আজকের আকাশ অনেক পরিষ্কার, তারাগুলো স্পষ্ট দেখা যাচ্ছে","আজিয়ের আকাশ বৌত পরিষ্কার, তারা এগুন স্পষ্ট দেহা যার"
প্রশ্ন দেখে আমার মাথা ঘুরে গেছে,প্রশ্ন দেহি রে আঁর মাথা ঘুরি গেইয়্যি
আমাকে এই বিপদ থেকে উদ্ধার করো,আঁরে এই বিপদ উত্তুন উদ্ধার গরো
"দোয়া করিস বন্ধু, সামনে অনেক কাজ","দোয়া গরিস বন্ধু, সামনে বৌত হাম"
"আমি সবজি দিয়ে ভাত খাব না, আমাকে মাংস দাও","আঁই সবজি দি ভাত হাইতাম ন, আঁরে গোস্ত দও"
রাতে না খেয়ে ঘুমালে সকালে উঠে দুর্বল লাগবে,রাতিয়ে ন হায় ঘুমাইলি বেইন্নে উডি দুর্বল লাগিবু
বাইরে কোথাও থেকে ঘুরে আসলে মন ভাল হয়ে যাবে,বাইরে হনোমিক্কেত্তুন ঘুরি আইলি মন ভালা অই যাইবো
"অফিস থেকে ছুটি পেয়েছি, আমরা আগামীকাল বের হব","অফিস উত্তুন ছুটি পায়, আঁরা হালিয়ে বাইর অইয়্যুম"
"স্যার, আমি ওর দিকে তাকাইনি","স্যার, আঁই ইতের মিক্কে নো চাই"
"আমি এখন থেকে টাকা জমাচ্ছি, যেন বন্ধে কোথাও একটু ঘুরে আসতে পারি","আঁই এহনুত্তুন টিয়া জমাইর, যেন বন্ধত হনোমিক্কে এক্কানা ঘুরি আইত ফারি"
আমার কার্টুন দেখতে অনেক ভাল লাগে,আত্তুন কার্টুন চাইতে বৌত ভালা লাগে
পরিচিত মানুষ থেকে এত বেশি লাভ করার দরকার নেই,পরিচিত মানুষ উত্তুন এল্লেত বেশি লাভ গরন উর দরহার নেই
"আমি ৩০০ টাকা দিব, যদি পারেন দিয়ে দেন","আঁই ৩০০ টিয়া দিইয়্যুম, যদি ফারো দিই দন"
ছোটবেলায় আম্মুর কাছে ১৯৯১ সালের বন্যার কথা শুনেছিলাম,গুরো থাকতে আম্মুর হাছে ১৯৯১ সালুর বন্যার হথা উইন্নিলাম
"তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি","তুঁই এহন ভাত ন হাইয়্যু, আঁই এক্কানা ফর আলু ভত্তা গরি দির"
গোসল করে আসার সময় তোর বাবার লুঙ্গিটাও ধুয়ে আনিস,গোসল গরি আইবের সমত তুর বাফুর লুঙ্গি ইয়েন অ ধুয় আনিস
"চল, আজ সুলতান'স ডাইন থেকে কাচ্চি বিরিয়ানি খেয়ে আসি","চল, আজিয়ে সুলতান'স ডাইন উত্তুন কাচ্চি বিরেনি হাই আই"
"সকালে ঘুম ভাঙার পর জানালা খুলে দিলাম, তারপর দেখি সূর্য উঠে গেছে","ফজোরত ঘুম ভাঙিবের পর জানালা খুলি দি, তারপর দেহিদ্দি সূর্য উডি গেইয়্যি"
চুরি করে কোনো কিছু অর্জন করে কী লাভ?,চুরি গরি হনো কিছু অর্জন গরি কি লাভ?
"পায়ে খুব ব্যথা করছে, একটু টিপে দাও তো","টেং বৌত ব্যথা গরের, এক্কানা টিপি দও না"
খালি কলসি বাজে বেশি,হেইল্যে গরা বাজে বেশি
স্টুডেন্ট ভিসা নিয়ে ইতালি গেলে কেমন হবে?,স্টুডেন্ট ভিসে লই ইতালি গেলি কেন অইবু
সবার ব্যাগ আর মোবাইল ফোন সামনে এনে রাখো,বিয়াজ্ঞুনুর ব্যাগ আর মোবাইল ফোন সাম্মুদ্দি আনি রাহো
এমনভাবে মাথা ঘুরাচ্ছে যেন মনে হচ্ছে দুনিয়াটা ঘুরতাছে,এন গরি মাথা ঘুরাদ্দে যেন মনে অর দুনিয়ে ইয়েন ঘুরের
একসাথে তিনটা নিলে কি দাম একটু কম রাখবেন?,এক্কোওয়ারে তিন্নো লইলি কি দাম এক্কানা হম রাহিবেন?
"কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে","হর ইবে বেশি হাচারা অই গেইয়্যি, আজিয়ে ধুই ফেলন ফরিবু"
"আমার একটু খারাপ লাগছে, আমি যেতে পারব না","আত্তুন এক্কানা হারাপ লার, আঁই যাইত ফাইত্তাম নো"
হাঁটুতে ব্যথার কারণে সিঁড়ি বেয়ে উঠতে অনেক কষ্ট হচ্ছে,আডুর ব্যথার হারনে সিরি বাই উঠতে বৌত হষ্ট অর
গতকাল ফুফাতো ভাইয়ের সাথে অনেক জায়গায় বাসা খুঁজেছি,গত হালিয়ে ফোতু ভাইয়ুর লগে বৌত জাগাত বাসা তোওয়াই
আমাকে আরো কিছু গরম গরম ভাপা পিঠা দাও,আঁরে আরো কিছু গরম গরম ধু পিডে দও
"আমি বিকেলে নাস্তা খেয়েছিলাম, তাই রাতে ভাত দেরি করে খাব","আঁই বিয়েলে নাস্তা হাইলাম, এতেল্লে রাতিয়ে ভাত দেরি গরি হাইয়্যুম"
"ভাই, আপনি না এলে আজকের আড্ডাটা একদম জমত না","বদ্দা, অঁনে ন আইলি আজিয়ের আড্ডা ইয়েন একদম ন জইমতো"
"আমার ছেলে কাতারে থাকে, ওখানে ব্যবসা করে","আঁর ফুওয়া কাতারুত থাহে, এনডে ব্যবসা গরে"
"আপনি কি সত্যিই এটা বললেন, নাকি আমি ঘুমের মধ্যে শুনলাম?","অঁনে কি সত্যি ইয়েন হইয়্যুন, নাকি আঁই ঘুমুর মধ্যে উইন্নিলাম?"
"ভাই, গাড়িটা একটু সরিয়ে নিন, রাস্তা আটকে আছে","বদ্দা, গারি ইয়েন এক্কানা সরাই লন, রাস্তা আটকি আছে"
"ভাই, তোর জন্য কিছু মিষ্টি এনেছি, নিয়ে যা, তোর অনেক পছন্দের জিনিস!","বদ্দা, তুর লাই কিছু মিষ্টি আইন্নি, লই যা, তুর বৌত পছন্দের জিনিস!"
"এটা গাছপাকা কাঁঠাল, তাই দাম বেশি হবে","ইবে গাছফোওয়ানা হাট্টল, এতেল্লে দাম বেশি অইবু"
আসসালামু আলাইকুম ভাই,আসসালামু আলাইকুম বদ্দা
"আম্মু, আমার পরীক্ষা আগামীকাল, তাই আজ রাতে একটু তাড়াতাড়ি খাবার দিয়ে দাও","আম্মু, আঁর পরীক্ষে হালিয়ে, এতেল্লে আজিয়ে রাতিয়ে তারাতারি হানা দি দও"
"আমাদের পাড়ার কুকুরকে যা দেয় তাই খায়, কোনো বাছবিচার নেই","আঁরার পারার কুত্তো ইবেরে যিয়েন দি ইয়েন হায়, হনো বাছবিচের নেই"
এই বছর বন্যার পানি এত বেশি উঠেছে যে অনেক বাড়ি পানিতে ডুবে গেছে,এই বছর বন্যার পানি এতো বেশি উইট্টি দে বৌত বারি পানিত ডুফি গেইয়্যি
কতদিনের মধ্যে কাজ হবে ভাই?,হতদিনোর মধ্যে হাম অইবু বদ্দা?
মুরগি দুটো হাটে নিয়ে গিয়ে বিক্রি করে আয়,কুরো দুনু অ আডোত লই যায় রে বেছি আয়
এবার রাজশাহী গেলে বেশি করে রাজশাহীর আম আর লিচু নিয়ে আসব,এবার রাজশাহীত গেলি বেশি গরি রাজশাহীর আম আর লেচু লই আইসসুম
কি বলেন এসব! আমাদের বাড়িতে থাকবে কেন?,কি হন এগিন! আঁরার বারিত কিল্লে থাহিবু?
"জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর","হারা যও, সূর্য ডুবিবের আগে হাম শেষ গরো"
তুমি আমার কথায় কান না দিয়ে ওই দিকে কি দেখো?,তুঁই আঁর হতাত হান ন দি উইক্কে কি চায় থেইক্কো?
কিছু লাগলে আমাকে জানাবেন,কিছু লাগিলি আঁরে জানাইয়্যুন
"এই হোটেলের খাবার ভাল না, আমরা সামনের হোটেলে যায়","এই হোটেলুর হানা ভালা ন, আঁরা সামনুর হোটেলুত যায়"
কি কিনব বাজার থেকে! সবকিছুর যে দাম!,কি কিননুম বাজারোত্তুন! বিয়াক কিছুর যে দাম!
মারুফ প্রথম বলেই আউট হয়ে গেছে,মারুফ পইল্লের বলেই আউট অই গেইয়্যি
"আমি এখন চলে যাচ্ছি, তুমি পরে আসিও","আঁই এহন চলি যাইর, তুঁই পরে আইস্যো"
"ঠিক আছে, এটা প্যাকেট করে দেন","ঠিক আছে, ইবে প্যাকেট গরি দন"
সকালে আমি রুটি খাব,বেইন্নে আঁই রুটি হাইয়্যুম
সন্ধ্যার পর দরজা-জানালা সব বন্ধ করে দিস,আজুইন্নের পর দরজা-জানালা বিয়াক বন্ধ গরি দিস
সারাদিন বসে বসে টিভিতে কার্টুন দেখলে পড়ালেখা কখন করবে?,আরাদিন বই বই টিভিত কার্টুন চাইলি পরালেহা হত্তে গরিবি?
আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ,আঁই কি হইয়্যি ইয়েন তুঁই এক্কানা ভালা গরি চিন্তে গরি স
দোকানের নামটা আমার মনে পড়ছে না এই মুহূর্তে,দোয়ানুর নাম ইয়েন আত্তুন মনোত ন ফরের এই মুহূর্তত
এ বছর বৃষ্টি বেশি হওয়ার কারণে ফসলের অনেক ক্ষতি হয়েছে,এ বছর ঝর বেশি ফরিবের হারনে ফসলুর বৌত হতি অইয়্যি
