Chatgaya,Bangla
আঁই আগে আরো বৌতবার অঁনোর দোয়ানত্তুন বাজার গইজ্জি,আমি আগে আরো অনেকবার আপনার দোকান থেকে বাজার করেছি
সময়মতো হানা ন হাইলি শরীল দুর্বল অই যাইবু,সময়মতো খাবার না খেলে শরীর দুর্বল হয়ে যাবে
"এবার বর্ষা আইবের আগে ঘর ইয়েন ঠিক গরি ফেলন ফরিবু, নইলি বর্ষাহালে হষ্ট অইবু","এবার বর্ষা আসার আগে ঘরটা ঠিক করে ফেলতে হবে, না হলে বর্ষাকালে বেশি কষ্ট হবে"
আর হত বাটফারি গরিবি বন্ধু? এবার ভালা অই যা,আর কত বাটপারি করবি বন্ধু? এবার ভাল হয়ে যা
"আঁই ঠিকগরি নাস্তা গরিত ন ফারি, এতেল্লে হারা ভুক লেইজ্ঞি","আমি ঠিকমতো নাস্তা করতে পারিনি, সেজন্য জলদি খিদে লেগেছে"
ফুলহপ্পি হত গরি? ভিতুরে ফুক অইবু না হনো?,ফুলকপি কত করে? ভিতরে পোকা হবে না তো?
তারাতারি গরা লই এক গরা পানি লই আইয়্যো,তাড়াতাড়ি কলসি নিয়ে এক কলসি পানি নিয়ে এসো
"আজিয়ে বাসাত ন যাইয়্যুম, আঁই আঁর বন্ধুর বাসাত থাহি যাইর","আজকে বাসায় যাব না, আমি আমার বন্ধুর বাসায় থেকে যাচ্ছি"
হুত্তা ইবে এক্কানা বরো সাইজুর পন যাইবু?,এই জামাটা একটু বড় সাইজে পাওয়া যাবে?
আঁরা যেনডে যাইর এনডে নেটওয়ার্ক উত বৌত সমস্যা অয়,আমরা যেখানে যাচ্ছি সেখানে নেটওয়ার্কে অনেক সমস্যা হয়
ঘরোত ঢোকিবের আগে ফাফোসুত একবার টেং এগিন মুছি তারপর ঢুইক্কো,ঘরে ঢোকার পূর্বে পাপোশে একবার পাগুলো মুছে তারপর ঢুকিও
"বন্ধু, যরি পারুস তইলি আঁরে এক্কান চঅরি থোওয়াই দে","বন্ধু, যদি পারিস তাহলে আমাকে একটা চাকরি খুঁজে দে"
